O00159-3	R-HSA-5250924	B-WICH complex positively regulates rRNA expression
O60258-1	R-HSA-5654228	Phospholipase C-mediated cascade; FGFR4
O60258-1	R-HSA-5654687	Downstream signaling of activated FGFR1
O60258-1	R-HSA-5654688	SHC-mediated cascade:FGFR1
O60258-1	R-HSA-5654689	PI-3K cascade:FGFR1
O60258-1	R-HSA-5654693	FRS-mediated FGFR1 signaling
O60258-1	R-HSA-5654695	PI-3K cascade:FGFR2
O60258-1	R-HSA-5654699	SHC-mediated cascade:FGFR2
O60258-1	R-HSA-5654700	FRS-mediated FGFR2 signaling
O60258-1	R-HSA-5654704	SHC-mediated cascade:FGFR3
O60258-1	R-HSA-5654706	FRS-mediated FGFR3 signaling
O60258-1	R-HSA-5654710	PI-3K cascade:FGFR3
O60258-1	R-HSA-5654712	FRS-mediated FGFR4 signaling
O60258-1	R-HSA-5654719	SHC-mediated cascade:FGFR4
O60258-1	R-HSA-5654720	PI-3K cascade:FGFR4
O60258-1	R-HSA-5654726	Negative regulation of FGFR1 signaling
O60258-1	R-HSA-5654727	Negative regulation of FGFR2 signaling
O60258-1	R-HSA-5654732	Negative regulation of FGFR3 signaling
O60258-1	R-HSA-5654733	Negative regulation of FGFR4 signaling
O60258-1	R-HSA-5655253	Signaling by FGFR2 in disease
O60258-1	R-HSA-5655302	Signaling by FGFR1 in disease
O60258-1	R-HSA-5655332	Signaling by FGFR3 in disease
O60258-1	R-HSA-5658623	FGFRL1 modulation of FGFR1 signaling
O60258-1	R-HSA-5673001	RAF/MAP kinase cascade
O60258-1	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
O60879-2	R-HSA-5663220	RHO GTPases Activate Formins
O60879-3	R-HSA-5663220	RHO GTPases Activate Formins
O60879-3	R-HSA-9013405	RHOD GTPase cycle
O75030-9	R-HSA-9824585	Regulation of MITF-M-dependent genes involved in pigmentation
O75030-9	R-HSA-9824594	Regulation of MITF-M-dependent genes involved in apoptosis
O75030-9	R-HSA-9825892	Regulation of MITF-M-dependent genes involved in cell cycle and proliferation
O75030-9	R-HSA-9825895	Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence
O75030-9	R-HSA-9854907	Regulation of MITF-M dependent genes involved in metabolism
O75030-9	R-HSA-9854909	Regulation of MITF-M dependent genes involved in invasion
O75030-9	R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity
O75030-9	R-HSA-9857377	Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy
O75030-9	R-HSA-9926550	Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition
O75182-1	R-HSA-400206	Regulation of lipid metabolism by PPARalpha
O75182-1	R-HSA-9707564	Cytoprotection by HMOX1
O75469-1	R-HSA-383280	Nuclear Receptor transcription pathway
O75469-1	R-HSA-4090294	SUMOylation of intracellular receptors
O75469-2	R-HSA-383280	Nuclear Receptor transcription pathway
O75469-3	R-HSA-383280	Nuclear Receptor transcription pathway
O75469-4	R-HSA-383280	Nuclear Receptor transcription pathway
O75469-5	R-HSA-383280	Nuclear Receptor transcription pathway
O75469-6	R-HSA-383280	Nuclear Receptor transcription pathway
O75469-7	R-HSA-383280	Nuclear Receptor transcription pathway
O75521-2	R-HSA-390247	Beta-oxidation of very long chain fatty acids
O75521-2	R-HSA-9033241	Peroxisomal protein import
O75916-3	R-HSA-2514859	Inactivation, recovery and regulation of the phototransduction cascade
O75928-1	R-HSA-3108214	SUMOylation of DNA damage response and repair proteins
O75928-1	R-HSA-3232118	SUMOylation of transcription factors
O75928-1	R-HSA-3232142	SUMOylation of ubiquitinylation proteins
O75928-1	R-HSA-3899300	SUMOylation of transcription cofactors
O75928-1	R-HSA-4090294	SUMOylation of intracellular receptors
O75928-2	R-HSA-4090294	SUMOylation of intracellular receptors
O75928-2	R-HSA-4551638	SUMOylation of chromatin organization proteins
O94956-1	R-HSA-9749641	Aspirin ADME
O94956-3	R-HSA-189483	Heme degradation
O94956-3	R-HSA-9754706	Atorvastatin ADME
O94973-3	R-HSA-416993	Trafficking of GluR2-containing AMPA receptors
O95405-1	R-HSA-2173788	Downregulation of TGF-beta receptor signaling
O95405-1	R-HSA-2173789	TGF-beta receptor signaling activates SMADs
O95405-1	R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer
O95405-1	R-HSA-3656532	TGFBR1 KD Mutants in Cancer
O95822-2	R-HSA-390247	Beta-oxidation of very long chain fatty acids
O95822-2	R-HSA-9033241	Peroxisomal protein import
P00167-1	R-HSA-9609523	Insertion of tail-anchored proteins into the endoplasmic reticulum membrane
P00390-1	R-HSA-3299685	Detoxification of Reactive Oxygen Species
P00390-2	R-HSA-2408550	Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
P00390-2	R-HSA-3299685	Detoxification of Reactive Oxygen Species
P00390-2	R-HSA-499943	Interconversion of nucleotide di- and triphosphates
P00390-2	R-HSA-5628897	TP53 Regulates Metabolic Genes
P00390-2	R-HSA-9818027	NFE2L2 regulating anti-oxidant/detoxification enzymes
P01116-1	R-HSA-112412	SOS-mediated signalling
P01116-1	R-HSA-1169092	Activation of RAS in B cells
P01116-1	R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
P01116-1	R-HSA-1250196	SHC1 events in ERBB2 signaling
P01116-1	R-HSA-1250347	SHC1 events in ERBB4 signaling
P01116-1	R-HSA-1433557	Signaling by SCF-KIT
P01116-1	R-HSA-167044	Signalling to RAS
P01116-1	R-HSA-171007	p38MAPK events
P01116-1	R-HSA-179812	GRB2 events in EGFR signaling
P01116-1	R-HSA-180336	SHC1 events in EGFR signaling
P01116-1	R-HSA-186763	Downstream signal transduction
P01116-1	R-HSA-1963640	GRB2 events in ERBB2 signaling
P01116-1	R-HSA-210993	Tie2 Signaling
P01116-1	R-HSA-2179392	EGFR Transactivation by Gastrin
P01116-1	R-HSA-2424491	DAP12 signaling
P01116-1	R-HSA-2428933	SHC-related events triggered by IGF1R
P01116-1	R-HSA-2871796	FCERI mediated MAPK activation
P01116-1	R-HSA-375165	NCAM signaling for neurite out-growth
P01116-1	R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor
P01116-1	R-HSA-5218921	VEGFR2 mediated cell proliferation
P01116-1	R-HSA-5621575	CD209 (DC-SIGN) signaling
P01116-1	R-HSA-5637810	Constitutive Signaling by EGFRvIII
P01116-1	R-HSA-5654688	SHC-mediated cascade:FGFR1
P01116-1	R-HSA-5654693	FRS-mediated FGFR1 signaling
P01116-1	R-HSA-5654699	SHC-mediated cascade:FGFR2
P01116-1	R-HSA-5654700	FRS-mediated FGFR2 signaling
P01116-1	R-HSA-5654704	SHC-mediated cascade:FGFR3
P01116-1	R-HSA-5654706	FRS-mediated FGFR3 signaling
P01116-1	R-HSA-5654712	FRS-mediated FGFR4 signaling
P01116-1	R-HSA-5654719	SHC-mediated cascade:FGFR4
P01116-1	R-HSA-5655253	Signaling by FGFR2 in disease
P01116-1	R-HSA-5655291	Signaling by FGFR4 in disease
P01116-1	R-HSA-5655302	Signaling by FGFR1 in disease
P01116-1	R-HSA-5655332	Signaling by FGFR3 in disease
P01116-1	R-HSA-5658442	Regulation of RAS by GAPs
P01116-1	R-HSA-5673000	RAF activation
P01116-1	R-HSA-5673001	RAF/MAP kinase cascade
P01116-1	R-HSA-5674135	MAP2K and MAPK activation
P01116-1	R-HSA-5675221	Negative regulation of MAPK pathway
P01116-1	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants
P01116-1	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants
P01116-1	R-HSA-6802952	Signaling by BRAF and RAF1 fusions
P01116-1	R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants
P01116-1	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF
P01116-1	R-HSA-74751	Insulin receptor signalling cascade
P01116-1	R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
P01116-1	R-HSA-8851805	MET activates RAS signaling
P01116-1	R-HSA-9026519	Activated NTRK2 signals through RAS
P01116-1	R-HSA-9027284	Erythropoietin activates RAS
P01116-1	R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3
P01116-1	R-HSA-9034864	Activated NTRK3 signals through RAS
P01116-1	R-HSA-9607240	FLT3 Signaling
P01116-1	R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2
P01116-1	R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ
P01116-1	R-HSA-9648002	RAS processing
P01116-1	R-HSA-9649948	Signaling downstream of RAS mutants
P01116-1	R-HSA-9656223	Signaling by RAF1 mutants
P01116-1	R-HSA-9664565	Signaling by ERBB2 KD Mutants
P01116-1	R-HSA-9665348	Signaling by ERBB2 ECD mutants
P01116-1	R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants
P01116-1	R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants
P01116-1	R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants
P01116-1	R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants
P01116-1	R-HSA-9703465	Signaling by FLT3 fusion proteins
P01116-1	R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants
P01116-2	R-HSA-112412	SOS-mediated signalling
P01116-2	R-HSA-1169092	Activation of RAS in B cells
P01116-2	R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
P01116-2	R-HSA-1250196	SHC1 events in ERBB2 signaling
P01116-2	R-HSA-1250347	SHC1 events in ERBB4 signaling
P01116-2	R-HSA-1433557	Signaling by SCF-KIT
P01116-2	R-HSA-167044	Signalling to RAS
P01116-2	R-HSA-171007	p38MAPK events
P01116-2	R-HSA-179812	GRB2 events in EGFR signaling
P01116-2	R-HSA-180336	SHC1 events in EGFR signaling
P01116-2	R-HSA-186763	Downstream signal transduction
P01116-2	R-HSA-1963640	GRB2 events in ERBB2 signaling
P01116-2	R-HSA-210993	Tie2 Signaling
P01116-2	R-HSA-2179392	EGFR Transactivation by Gastrin
P01116-2	R-HSA-2424491	DAP12 signaling
P01116-2	R-HSA-2428933	SHC-related events triggered by IGF1R
P01116-2	R-HSA-2871796	FCERI mediated MAPK activation
P01116-2	R-HSA-375165	NCAM signaling for neurite out-growth
P01116-2	R-HSA-4086398	Ca2+ pathway
P01116-2	R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor
P01116-2	R-HSA-5218921	VEGFR2 mediated cell proliferation
P01116-2	R-HSA-5621575	CD209 (DC-SIGN) signaling
P01116-2	R-HSA-5637810	Constitutive Signaling by EGFRvIII
P01116-2	R-HSA-5654688	SHC-mediated cascade:FGFR1
P01116-2	R-HSA-5654693	FRS-mediated FGFR1 signaling
P01116-2	R-HSA-5654699	SHC-mediated cascade:FGFR2
P01116-2	R-HSA-5654700	FRS-mediated FGFR2 signaling
P01116-2	R-HSA-5654704	SHC-mediated cascade:FGFR3
P01116-2	R-HSA-5654706	FRS-mediated FGFR3 signaling
P01116-2	R-HSA-5654712	FRS-mediated FGFR4 signaling
P01116-2	R-HSA-5654719	SHC-mediated cascade:FGFR4
P01116-2	R-HSA-5655253	Signaling by FGFR2 in disease
P01116-2	R-HSA-5655291	Signaling by FGFR4 in disease
P01116-2	R-HSA-5655302	Signaling by FGFR1 in disease
P01116-2	R-HSA-5655332	Signaling by FGFR3 in disease
P01116-2	R-HSA-5658442	Regulation of RAS by GAPs
P01116-2	R-HSA-5673000	RAF activation
P01116-2	R-HSA-5673001	RAF/MAP kinase cascade
P01116-2	R-HSA-5674135	MAP2K and MAPK activation
P01116-2	R-HSA-5675221	Negative regulation of MAPK pathway
P01116-2	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants
P01116-2	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants
P01116-2	R-HSA-6802952	Signaling by BRAF and RAF1 fusions
P01116-2	R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants
P01116-2	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF
P01116-2	R-HSA-74751	Insulin receptor signalling cascade
P01116-2	R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
P01116-2	R-HSA-8851805	MET activates RAS signaling
P01116-2	R-HSA-9026519	Activated NTRK2 signals through RAS
P01116-2	R-HSA-9027284	Erythropoietin activates RAS
P01116-2	R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3
P01116-2	R-HSA-9034864	Activated NTRK3 signals through RAS
P01116-2	R-HSA-9607240	FLT3 Signaling
P01116-2	R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2
P01116-2	R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ
P01116-2	R-HSA-9648002	RAS processing
P01116-2	R-HSA-9649948	Signaling downstream of RAS mutants
P01116-2	R-HSA-9656223	Signaling by RAF1 mutants
P01116-2	R-HSA-9664565	Signaling by ERBB2 KD Mutants
P01116-2	R-HSA-9665348	Signaling by ERBB2 ECD mutants
P01116-2	R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants
P01116-2	R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants
P01116-2	R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants
P01116-2	R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants
P01116-2	R-HSA-9703465	Signaling by FLT3 fusion proteins
P01116-2	R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants
P02545-1	R-HSA-2980766	Nuclear Envelope Breakdown
P02545-1	R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation
P02545-1	R-HSA-352238	Breakdown of the nuclear lamina
P02545-1	R-HSA-4419969	Depolymerization of the Nuclear Lamina
P02545-1	R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
P02545-2	R-HSA-1221632	Meiotic synapsis
P02545-2	R-HSA-2980766	Nuclear Envelope Breakdown
P02545-2	R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation
P02545-2	R-HSA-4419969	Depolymerization of the Nuclear Lamina
P03372-3	R-HSA-1257604	PIP3 activates AKT signaling
P03372-3	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
P03372-3	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
P03372-3	R-HSA-9009391	Extra-nuclear estrogen signaling
P03372-4	R-HSA-1257604	PIP3 activates AKT signaling
P03372-4	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
P03372-4	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
P03372-4	R-HSA-9009391	Extra-nuclear estrogen signaling
P03423-1	R-HSA-9820960	Respiratory syncytial virus (RSV) attachment and entry
P03423-1	R-HSA-9820962	Assembly and release of respiratory syncytial virus (RSV) virions
P03423-1	R-HSA-9828721	Translation of respiratory syncytial virus mRNAs
P03423-1	R-HSA-9828806	Maturation of hRSV A proteins
P03423-1	R-HSA-9833110	RSV-host interactions
P03423-2	R-HSA-9828721	Translation of respiratory syncytial virus mRNAs
P03423-2	R-HSA-9828806	Maturation of hRSV A proteins
P03423-2	R-HSA-9833110	RSV-host interactions
P04035-1	R-HSA-191273	Cholesterol biosynthesis
P04035-1	R-HSA-1989781	PPARA activates gene expression
P04035-1	R-HSA-2426168	Activation of gene expression by SREBF (SREBP)
P04035-2	R-HSA-191273	Cholesterol biosynthesis
P04085-1	R-HSA-114608	Platelet degranulation 
P04085-1	R-HSA-1257604	PIP3 activates AKT signaling
P04085-1	R-HSA-186763	Downstream signal transduction
P04085-1	R-HSA-186797	Signaling by PDGF
P04085-1	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
P04085-1	R-HSA-5673001	RAF/MAP kinase cascade
P04085-1	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
P04085-2	R-HSA-1257604	PIP3 activates AKT signaling
P04085-2	R-HSA-186763	Downstream signal transduction
P04085-2	R-HSA-186797	Signaling by PDGF
P04085-2	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
P04085-2	R-HSA-5673001	RAF/MAP kinase cascade
P04085-2	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
P04150-1	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-2	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-3	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-4	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-5	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-6	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-7	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-8	R-HSA-383280	Nuclear Receptor transcription pathway
P04150-9	R-HSA-383280	Nuclear Receptor transcription pathway
P04608-2	R-HSA-9833482	PKR-mediated signaling
P04629-1	R-HSA-170968	Frs2-mediated activation
P04629-1	R-HSA-187042	TRKA activation by NGF
P05067-4	R-HSA-9837999	Mitochondrial protein degradation
P05549-1	R-HSA-3232118	SUMOylation of transcription factors
P05549-1	R-HSA-8866904	Negative regulation of activity of TFAP2 (AP-2) family transcription factors
P06241-1	R-HSA-418885	DCC mediated attractive signaling
P06241-1	R-HSA-9032500	Activated NTRK2 signals through FYN
P06241-1	R-HSA-9032759	NTRK2 activates RAC1
P06401-2	R-HSA-383280	Nuclear Receptor transcription pathway
P08235-1	R-HSA-383280	Nuclear Receptor transcription pathway
P08235-2	R-HSA-383280	Nuclear Receptor transcription pathway
P08235-3	R-HSA-383280	Nuclear Receptor transcription pathway
P08235-4	R-HSA-383280	Nuclear Receptor transcription pathway
P08887-2	R-HSA-1059683	Interleukin-6 signaling
P08887-2	R-HSA-110056	MAPK3 (ERK1) activation
P08887-2	R-HSA-112411	MAPK1 (ERK2) activation
P09496-1	R-HSA-2132295	MHC class II antigen presentation
P09496-1	R-HSA-432720	Lysosome Vesicle Biogenesis
P09496-1	R-HSA-432722	Golgi Associated Vesicle Biogenesis
P0DOE5-1	R-HSA-9820960	Respiratory syncytial virus (RSV) attachment and entry
P0DOE5-1	R-HSA-9820962	Assembly and release of respiratory syncytial virus (RSV) virions
P0DOE5-1	R-HSA-9828721	Translation of respiratory syncytial virus mRNAs
P0DOE5-1	R-HSA-9828806	Maturation of hRSV A proteins
P0DOE5-1	R-HSA-9833110	RSV-host interactions
P0DOE5-2	R-HSA-9828721	Translation of respiratory syncytial virus mRNAs
P0DTD1-1	R-HSA-191859	snRNP Assembly
P0DTD1-1	R-HSA-918233	TRAF3-dependent IRF activation pathway
P0DTD1-1	R-HSA-9694271	Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)
P0DTD1-1	R-HSA-9694301	Maturation of replicase proteins
P0DTD1-1	R-HSA-9694676	Translation of Replicase and Assembly of the Replication Transcription Complex
P0DTD1-1	R-HSA-9694686	Replication of the SARS-CoV-2 genome
P0DTD1-1	R-HSA-9694786	Transcription of SARS-CoV-2 sgRNAs
P0DTD1-1	R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses
P0DTD1-1	R-HSA-9754678	SARS-CoV-2 modulates host translation machinery
P10636-8	R-HSA-9619483	Activation of AMPK downstream of NMDARs
P10636-8	R-HSA-9833482	PKR-mediated signaling
P10827-2	R-HSA-4090294	SUMOylation of intracellular receptors
P11362-1	R-HSA-109704	PI3K Cascade
P11362-1	R-HSA-1257604	PIP3 activates AKT signaling
P11362-1	R-HSA-1839120	Signaling by FGFR1 amplification mutants
P11362-1	R-HSA-1839122	Signaling by activated point mutants of FGFR1
P11362-1	R-HSA-190373	FGFR1c ligand binding and activation
P11362-1	R-HSA-190374	FGFR1c and Klotho ligand binding and activation
P11362-1	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
P11362-1	R-HSA-375165	NCAM signaling for neurite out-growth
P11362-1	R-HSA-445144	Signal transduction by L1
P11362-1	R-HSA-5654219	Phospholipase C-mediated cascade: FGFR1
P11362-1	R-HSA-5654687	Downstream signaling of activated FGFR1
P11362-1	R-HSA-5654688	SHC-mediated cascade:FGFR1
P11362-1	R-HSA-5654689	PI-3K cascade:FGFR1
P11362-1	R-HSA-5654693	FRS-mediated FGFR1 signaling
P11362-1	R-HSA-5654726	Negative regulation of FGFR1 signaling
P11362-1	R-HSA-5655302	Signaling by FGFR1 in disease
P11362-1	R-HSA-5673001	RAF/MAP kinase cascade
P11362-1	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
P11362-19	R-HSA-109704	PI3K Cascade
P11362-19	R-HSA-1257604	PIP3 activates AKT signaling
P11362-19	R-HSA-1839120	Signaling by FGFR1 amplification mutants
P11362-19	R-HSA-190370	FGFR1b ligand binding and activation
P11362-19	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
P11362-19	R-HSA-5654219	Phospholipase C-mediated cascade: FGFR1
P11362-19	R-HSA-5654687	Downstream signaling of activated FGFR1
P11362-19	R-HSA-5654688	SHC-mediated cascade:FGFR1
P11362-19	R-HSA-5654689	PI-3K cascade:FGFR1
P11362-19	R-HSA-5654693	FRS-mediated FGFR1 signaling
P11362-19	R-HSA-5654726	Negative regulation of FGFR1 signaling
P11362-19	R-HSA-5655302	Signaling by FGFR1 in disease
P11362-19	R-HSA-5673001	RAF/MAP kinase cascade
P11362-19	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
P12034-1	R-HSA-109704	PI3K Cascade
P12034-1	R-HSA-1257604	PIP3 activates AKT signaling
P12034-1	R-HSA-1839122	Signaling by activated point mutants of FGFR1
P12034-1	R-HSA-1839130	Signaling by activated point mutants of FGFR3
P12034-1	R-HSA-190372	FGFR3c ligand binding and activation
P12034-1	R-HSA-190373	FGFR1c ligand binding and activation
P12034-1	R-HSA-190375	FGFR2c ligand binding and activation
P12034-1	R-HSA-2033519	Activated point mutants of FGFR2
P12034-1	R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
P12034-1	R-HSA-5654219	Phospholipase C-mediated cascade: FGFR1
P12034-1	R-HSA-5654221	Phospholipase C-mediated cascade; FGFR2
P12034-1	R-HSA-5654227	Phospholipase C-mediated cascade; FGFR3
P12034-1	R-HSA-5654687	Downstream signaling of activated FGFR1
P12034-1	R-HSA-5654688	SHC-mediated cascade:FGFR1
P12034-1	R-HSA-5654689	PI-3K cascade:FGFR1
P12034-1	R-HSA-5654693	FRS-mediated FGFR1 signaling
P12034-1	R-HSA-5654695	PI-3K cascade:FGFR2
P12034-1	R-HSA-5654699	SHC-mediated cascade:FGFR2
P12034-1	R-HSA-5654700	FRS-mediated FGFR2 signaling
P12034-1	R-HSA-5654704	SHC-mediated cascade:FGFR3
P12034-1	R-HSA-5654706	FRS-mediated FGFR3 signaling
P12034-1	R-HSA-5654710	PI-3K cascade:FGFR3
P12034-1	R-HSA-5654726	Negative regulation of FGFR1 signaling
P12034-1	R-HSA-5654727	Negative regulation of FGFR2 signaling
P12034-1	R-HSA-5654732	Negative regulation of FGFR3 signaling
P12034-1	R-HSA-5655253	Signaling by FGFR2 in disease
P12034-1	R-HSA-5655302	Signaling by FGFR1 in disease
P12034-1	R-HSA-5655332	Signaling by FGFR3 in disease
P12034-1	R-HSA-5658623	FGFRL1 modulation of FGFR1 signaling
P12034-1	R-HSA-5673001	RAF/MAP kinase cascade
P12034-1	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling
P12931-1	R-HSA-1295596	Spry regulation of FGF signaling
P12931-1	R-HSA-1433557	Signaling by SCF-KIT
P12931-1	R-HSA-1433559	Regulation of KIT signaling
P12931-1	R-HSA-171007	p38MAPK events
P12931-1	R-HSA-177929	Signaling by EGFR
P12931-1	R-HSA-201556	Signaling by ALK
P12931-1	R-HSA-2029481	FCGR activation
P12931-1	R-HSA-210990	PECAM1 interactions
P12931-1	R-HSA-2682334	EPH-Ephrin signaling
P12931-1	R-HSA-354192	Integrin signaling
P12931-1	R-HSA-375165	NCAM signaling for neurite out-growth
P12931-1	R-HSA-389356	Co-stimulation by CD28
P12931-1	R-HSA-389513	Co-inhibition by CTLA4
P12931-1	R-HSA-391160	Signal regulatory protein family interactions
P12931-1	R-HSA-3928662	EPHB-mediated forward signaling
P12931-1	R-HSA-3928663	EPHA-mediated growth cone collapse
P12931-1	R-HSA-3928664	Ephrin signaling
