Latent infection - Other responses of Mtb to phagocytosis	Cell redox homeostasis
ROS and RNS production in phagocytes	Events associated with phagocytolytic activity of PMN cells
Signaling by FGFR in disease	Signaling by FGFR2 in disease
Signaling by FGFR in disease	Signaling by FGFR4 in disease
Signaling by FGFR in disease	Signaling by FGFR1 in disease
Signaling by FGFR in disease	Signaling by FGFR3 in disease
Signaling by ERBB2	SHC1 events in ERBB2 signaling
Signaling by ERBB2	PLCG1 events in ERBB2 signaling
Signaling by ERBB2	GRB7 events in ERBB2 signaling
Signaling by ERBB2	GRB2 events in ERBB2 signaling
Signaling by ERBB2	PI3K events in ERBB2 signaling
Signaling by ERBB2	ERBB2 Regulates Cell Motility
Signaling by ERBB2	ERBB2 Activates PTK6 Signaling
Signaling by ERBB2	Downregulation of ERBB2 signaling
Signaling by ERBB2	Drug-mediated inhibition of ERBB2 signaling
Signaling by ERBB2 in Cancer	Constitutive Signaling by Overexpressed ERBB2
Signaling by ERBB2 in Cancer	Signaling by ERBB2 KD Mutants
Signaling by ERBB2 in Cancer	Drug resistance in ERBB2 KD mutants
Signaling by ERBB2 in Cancer	Signaling by ERBB2 ECD mutants
Signaling by ERBB2 in Cancer	Signaling by ERBB2 TMD/JMD mutants
Signaling by ERBB2 in Cancer	Drug resistance in ERBB2 TMD/JMD mutants
Cellular response to hypoxia	Regulation of gene expression by Hypoxia-inducible Factor
Cellular response to hypoxia	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
Signaling by ERBB4	PI3K events in ERBB4 signaling
Signaling by ERBB4	SHC1 events in ERBB4 signaling
Signaling by ERBB4	Nuclear signaling by ERBB4
Signaling by ERBB4	Downregulation of ERBB4 signaling
Antigen processing-Cross presentation	Cross-presentation of particulate exogenous antigens (phagosomes)
Antigen processing-Cross presentation	ER-Phagosome pathway
Antigen processing-Cross presentation	Endosomal/Vacuolar pathway
Antigen processing-Cross presentation	Cross-presentation of soluble exogenous antigens (endosomes)
PIP3 activates AKT signaling	AKT phosphorylates targets in the cytosol
PIP3 activates AKT signaling	AKT phosphorylates targets in the nucleus
PIP3 activates AKT signaling	Negative regulation of the PI3K/AKT network
PIP3 activates AKT signaling	PTEN Regulation
Developmental Biology	Signaling by NODAL
Developmental Biology	Regulation of beta-cell development
Developmental Biology	Transcriptional regulation of pluripotent stem cells
Developmental Biology	Myogenesis
Developmental Biology	Activation of HOX genes during differentiation
Developmental Biology	LGI-ADAM interactions
Developmental Biology	Keratinization
Developmental Biology	Transcriptional regulation of granulopoiesis
Developmental Biology	Nervous system development
Developmental Biology	Transcriptional regulation of testis differentiation
Developmental Biology	MITF-M-regulated melanocyte development
Developmental Biology	Cardiogenesis
Developmental Biology	Developmental Cell Lineages
Developmental Biology	Gastrulation
Developmental Biology	Maternal to zygotic transition (MZT)
Developmental Biology	Kidney development
Developmental Biology	Adipogenesis
Cytokine Signaling in Immune system	Prolactin receptor signaling
Cytokine Signaling in Immune system	Signaling by Interleukins
Cytokine Signaling in Immune system	TNFR2 non-canonical NF-kB pathway
Cytokine Signaling in Immune system	Interferon Signaling
Cytokine Signaling in Immune system	FLT3 Signaling
Cytokine Signaling in Immune system	Signaling by CSF3 (G-CSF)
Cytokine Signaling in Immune system	Signaling by CSF1 (M-CSF) in myeloid cells
Cytokine Signaling in Immune system	Growth hormone receptor signaling
Adaptive Immune System	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
Adaptive Immune System	TCR signaling
Adaptive Immune System	MHC class II antigen presentation
Adaptive Immune System	Regulation of T cell activation by CD28 family
Adaptive Immune System	Rap1 signalling
Adaptive Immune System	Butyrophilin (BTN) family interactions
Adaptive Immune System	Class I MHC mediated antigen processing & presentation
Adaptive Immune System	Signaling by the B Cell Receptor (BCR)
G protein gated Potassium channels	Activation of G protein gated Potassium channels
Inwardly rectifying K+ channels	ATP sensitive Potassium channels
Inwardly rectifying K+ channels	Classical Kir channels
Inwardly rectifying K+ channels	G protein gated Potassium channels
Inwardly rectifying K+ channels	Potassium transport channels
Potassium Channels	Ca2+ activated K+ channels
Potassium Channels	HCN channels
Potassium Channels	Inwardly rectifying K+ channels
Potassium Channels	Voltage gated Potassium channels
Potassium Channels	Tandem pore domain potassium channels
Tandem pore domain potassium channels	Tandem pore domain halothane-inhibited K+ channel (THIK)
Tandem pore domain potassium channels	Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)
Tandem pore domain potassium channels	TWIK-releated acid-sensitive K+ channel (TASK)
Tandem pore domain potassium channels	TWIK-related spinal cord K+ channel (TRESK)
Tandem pore domain potassium channels	TWIK-related alkaline pH activated K+ channel (TALK)
Tandem pore domain potassium channels	TWIK related potassium channel (TREK)
Mitochondrial iron-sulfur cluster biogenesis	Electron transport from NADPH to Ferredoxin
Amine Oxidase reactions	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB
Amine Oxidase reactions	PAOs oxidise polyamines to amines
Caspase activation via Death Receptors in the presence of ligand	Regulation by c-FLIP
Caspase activation via Death Receptors in the presence of ligand	Dimerization of procaspase-8
Formation of Fibrin Clot (Clotting Cascade)	Extrinsic Pathway of Fibrin Clot Formation
Formation of Fibrin Clot (Clotting Cascade)	Intrinsic Pathway of Fibrin Clot Formation
Formation of Fibrin Clot (Clotting Cascade)	Common Pathway of Fibrin Clot Formation
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	Inactivation of APC/C via direct inhibition of the APC/C complex
Amplification of signal from the kinetochores	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
Aerobic respiration and respiratory electron transport	Formation of ATP by chemiosmotic coupling
Aerobic respiration and respiratory electron transport	Mitochondrial Uncoupling
Aerobic respiration and respiratory electron transport	Respiratory electron transport
Aerobic respiration and respiratory electron transport	Pyruvate metabolism
Aerobic respiration and respiratory electron transport	Citric acid cycle (TCA cycle)
Aerobic respiration and respiratory electron transport	Interconversion of 2-oxoglutarate and 2-hydroxyglutarate
Metabolism	Mitochondrial iron-sulfur cluster biogenesis
Metabolism	Aerobic respiration and respiratory electron transport
Metabolism	Reversible hydration of carbon dioxide
Metabolism	Inositol phosphate metabolism
Metabolism	Metabolism of nucleotides
Metabolism	Integration of energy metabolism
Metabolism	Metabolism of porphyrins
Metabolism	Metabolism of vitamins and cofactors
Metabolism	Metabolism of nitric oxide: NOS3 activation and regulation
Metabolism	Biological oxidations
Metabolism	Cytosolic iron-sulfur cluster assembly
Metabolism	Metabolism of lipids
Metabolism	Metabolism of amino acids and derivatives
Metabolism	Metabolism of carbohydrates
Metabolism	Pyrophosphate hydrolysis
Signaling by SCF-KIT	Regulation of KIT signaling
Defensins	Beta defensins
Defensins	Alpha-defensins
Reproduction	Fertilization
Reproduction	Meiosis
Reproduction	Specification of primordial germ cells
Degradation of the extracellular matrix	Collagen degradation
Degradation of the extracellular matrix	Activation of Matrix Metalloproteinases
Extracellular matrix organization	Degradation of the extracellular matrix
Extracellular matrix organization	Collagen formation
Extracellular matrix organization	Elastic fibre formation
Extracellular matrix organization	Fibronectin matrix formation
Extracellular matrix organization	Integrin cell surface interactions
Extracellular matrix organization	Laminin interactions
Extracellular matrix organization	Non-integrin membrane-ECM interactions
Extracellular matrix organization	ECM proteoglycans
Extracellular matrix organization	Invadopodia formation
Collagen formation	Collagen biosynthesis and modifying enzymes
Collagen formation	Assembly of collagen fibrils and other multimeric structures
O2/CO2 exchange in erythrocytes	Erythrocytes take up carbon dioxide and release oxygen
O2/CO2 exchange in erythrocytes	Erythrocytes take up oxygen and release carbon dioxide
Glycerophospholipid biosynthesis	Acyl chain remodelling of PC
Glycerophospholipid biosynthesis	Acyl chain remodeling of CL
Glycerophospholipid biosynthesis	Acyl chain remodelling of PS
Glycerophospholipid biosynthesis	Acyl chain remodelling of PE
Glycerophospholipid biosynthesis	Acyl chain remodeling of DAG and TAG
Glycerophospholipid biosynthesis	Acyl chain remodelling of PI
Glycerophospholipid biosynthesis	Acyl chain remodelling of PG
Glycerophospholipid biosynthesis	Synthesis of CL
Glycerophospholipid biosynthesis	Synthesis of PS
Glycerophospholipid biosynthesis	Hydrolysis of LPC
Glycerophospholipid biosynthesis	Synthesis of PG
Glycerophospholipid biosynthesis	Hydrolysis of LPE
Glycerophospholipid biosynthesis	Synthesis of PA
Glycerophospholipid biosynthesis	Synthesis of BMP
Glycerophospholipid biosynthesis	Synthesis of PC
Glycerophospholipid biosynthesis	PI and PC transport between ER and Golgi membranes
Glycerophospholipid biosynthesis	Synthesis of PE
Glycerophospholipid biosynthesis	Synthesis of PI
Inositol phosphate metabolism	IPs transport between ER lumen and nucleus
Inositol phosphate metabolism	Synthesis of pyrophosphates in the cytosol
Inositol phosphate metabolism	IPs transport between nucleus and cytosol
Inositol phosphate metabolism	Synthesis of IP2, IP, and Ins in the cytosol
Inositol phosphate metabolism	IPs transport between cytosol and ER lumen
Inositol phosphate metabolism	Synthesis of IPs in the nucleus
Inositol phosphate metabolism	IPs transport between nucleus and ER lumen
Inositol phosphate metabolism	IP3 and IP4 transport between cytosol and nucleus
Inositol phosphate metabolism	Synthesis of IP3 and IP4 in the cytosol
Inositol phosphate metabolism	IPs transport between ER lumen and cytosol
Inositol phosphate metabolism	IP6 and IP7 transport between cytosol and nucleus
Inositol phosphate metabolism	Synthesis of IPs in the ER lumen
PI Metabolism	PI and PC transport between ER and Golgi membranes
PI Metabolism	Synthesis of PIPs at the ER membrane
PI Metabolism	Synthesis of PIPs at the plasma membrane
PI Metabolism	PIPs transport between early and late endosome membranes
PI Metabolism	PIPs transport between late endosome and Golgi membranes
PI Metabolism	PIPs transport between Golgi and plasma membranes
PI Metabolism	Synthesis of PIPs at the Golgi membrane
PI Metabolism	Synthesis of PIPs at the early endosome membrane
PI Metabolism	Synthesis of PIPs at the late endosome membrane
PI Metabolism	PIPs transport between plasma and early endosome membranes
PI Metabolism	PIPs transport between early endosome and Golgi membranes
PI Metabolism	Glycerophospholipid catabolism
PI Metabolism	Synthesis of PIPs in the nucleus
Phospholipid metabolism	Glycerophospholipid biosynthesis
Phospholipid metabolism	PI Metabolism
DAG and IP3 signaling	CaM pathway
Meiosis	Meiotic synapsis
Meiosis	Meiotic recombination
Cell-Cell communication	Nephrin family interactions
Cell-Cell communication	Signal regulatory protein family interactions
Cell-Cell communication	Cell junction organization
Signaling by Activin	Antagonism of Activin by Follistatin
G0 and Early G1	Transcription of E2F targets under negative control by DREAM complex
G0 and Early G1	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
Phase II - Conjugation of compounds	Methylation
Phase II - Conjugation of compounds	Acetylation
Phase II - Conjugation of compounds	Cytosolic sulfonation of small molecules
Phase II - Conjugation of compounds	Amino Acid conjugation
Phase II - Conjugation of compounds	Glucuronidation
Phase II - Conjugation of compounds	Glutathione conjugation
Cytosolic sulfonation of small molecules	Transport and synthesis of PAPS
Amino Acid conjugation	Conjugation of carboxylic acids
Glucuronidation	Formation of the active cofactor, UDP-glucuronate
Glutathione conjugation	Glutathione synthesis and recycling
Elastic fibre formation	Molecules associated with elastic fibres
Eukaryotic Translation Elongation	Peptide chain elongation
Signaling by NOTCH	Pre-NOTCH Expression and Processing
Signaling by NOTCH	Signaling by NOTCH1
Signaling by NOTCH	Signaling by NOTCH2
Signaling by NOTCH	Signaling by NOTCH3
Signaling by NOTCH	Signaling by NOTCH4
Telomere Maintenance	Packaging Of Telomere Ends
Telomere Maintenance	Extension of Telomeres
Telomere Maintenance	Inhibition of DNA recombination at telomere
Gap junction trafficking and regulation	Gap junction trafficking
Gap junction trafficking and regulation	Regulation of gap junction activity
Metabolism of nucleotides	Interconversion of nucleotide di- and triphosphates
Metabolism of nucleotides	Nucleotide catabolism
Metabolism of nucleotides	Nucleotide biosynthesis
Metabolism of nucleotides	Nucleotide salvage
Mitochondrial biogenesis	Transcriptional activation of mitochondrial biogenesis
Mitochondrial biogenesis	Activation of PPARGC1A (PGC-1alpha) by phosphorylation
Mitochondrial biogenesis	Cristae formation
Transport of Mature mRNAs Derived from Intronless Transcripts	Transport of the SLBP independent Mature mRNA
Transport of Mature mRNAs Derived from Intronless Transcripts	Transport of the SLBP Dependant Mature mRNA
Transport of Mature mRNAs Derived from Intronless Transcripts	Transport of Mature mRNA Derived from an Intronless Transcript
Conjugation of carboxylic acids	Conjugation of salicylate with glycine
Conjugation of carboxylic acids	Conjugation of benzoate with glycine
Conjugation of carboxylic acids	Conjugation of phenylacetate with glutamine
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	Gamma-carboxylation of protein precursors
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	Removal of aminoterminal propeptides from gamma-carboxylated proteins
ZBP1(DAI) mediated induction of type I IFNs	IRF3 mediated activation of type 1 IFN
ZBP1(DAI) mediated induction of type I IFNs	RIP-mediated NFkB activation via ZBP1
Degradation of cysteine and homocysteine	Sulfide oxidation to sulfate
Sulfur amino acid metabolism	Methionine salvage pathway
Sulfur amino acid metabolism	Degradation of cysteine and homocysteine
Sulfur amino acid metabolism	Cysteine formation from homocysteine
Signal Transduction	Signaling by NOTCH
Signal Transduction	MTOR signalling
Signal Transduction	Signaling by WNT
Signal Transduction	Signaling by Hippo
Signal Transduction	Signaling by Leptin
Signal Transduction	Integrin signaling
Signal Transduction	Signaling by GPCR
Signal Transduction	Signaling by Hedgehog
Signal Transduction	MAPK family signaling cascades
Signal Transduction	Death Receptor Signaling
Signal Transduction	Signaling by Erythropoietin
Signal Transduction	Intracellular signaling by second messengers
Signal Transduction	Signaling by Non-Receptor Tyrosine Kinases
Signal Transduction	Signaling by Nuclear Receptors
Signal Transduction	Signaling by Receptor Tyrosine Kinases
Signal Transduction	Signaling by TGFB family members
Signal Transduction	Signaling by Rho GTPases, Miro GTPases and RHOBTB3
HIV Life Cycle	Early Phase of HIV Life Cycle
HIV Life Cycle	Late Phase of HIV Life Cycle
Reverse Transcription of HIV RNA	Minus-strand DNA synthesis
Reverse Transcription of HIV RNA	Plus-strand DNA synthesis
Integration of provirus	2-LTR circle formation
Integration of provirus	Integration of viral DNA into host genomic DNA
Integration of provirus	Autointegration results in viral DNA circles
Early Phase of HIV Life Cycle	Uncoating of the HIV Virion
Early Phase of HIV Life Cycle	Reverse Transcription of HIV RNA
Early Phase of HIV Life Cycle	Integration of provirus
Early Phase of HIV Life Cycle	Binding and entry of HIV virion
Late Phase of HIV Life Cycle	Budding and maturation of HIV virion
Late Phase of HIV Life Cycle	Rev-mediated nuclear export of HIV RNA
Late Phase of HIV Life Cycle	Transcription of the HIV genome
Late Phase of HIV Life Cycle	Assembly Of The HIV Virion
HIV Infection	HIV Life Cycle
HIV Infection	Host Interactions of HIV factors
Host Interactions of HIV factors	The role of Nef in HIV-1 replication and disease pathogenesis
Host Interactions of HIV factors	Interactions of Vpr with host cellular proteins
Host Interactions of HIV factors	Interactions of Tat with host cellular proteins
Host Interactions of HIV factors	Interactions of Rev with host cellular proteins
Host Interactions of HIV factors	Vpu mediated degradation of CD4
Host Interactions of HIV factors	Vif-mediated degradation of APOBEC3G
Host Interactions of HIV factors	APOBEC3G mediated resistance to HIV-1 infection
Glycosaminoglycan metabolism	Keratan sulfate/keratin metabolism
Glycosaminoglycan metabolism	Heparan sulfate/heparin (HS-GAG) metabolism
Glycosaminoglycan metabolism	Transport and synthesis of PAPS
Glycosaminoglycan metabolism	Chondroitin sulfate/dermatan sulfate metabolism
Glycosaminoglycan metabolism	Hyaluronan metabolism
Post-translational modification: synthesis of GPI-anchored proteins	Synthesis of dolichyl-phosphate mannose
Post-translational modification: synthesis of GPI-anchored proteins	Synthesis of glycosylphosphatidylinositol (GPI)
Post-translational modification: synthesis of GPI-anchored proteins	Attachment of GPI anchor to uPAR
Macroautophagy	Selective autophagy
Glucagon signaling in metabolic regulation	PKA activation in glucagon signalling
Integration of energy metabolism	PKA-mediated phosphorylation of key metabolic factors
Integration of energy metabolism	Glucagon signaling in metabolic regulation
Integration of energy metabolism	AMPK inhibits chREBP transcriptional activation activity
Integration of energy metabolism	Insulin effects increased synthesis of Xylulose-5-Phosphate
Integration of energy metabolism	ChREBP activates metabolic gene expression
Integration of energy metabolism	PP2A-mediated dephosphorylation of key metabolic factors
Integration of energy metabolism	Regulation of insulin secretion
Keratan sulfate/keratin metabolism	Keratan sulfate biosynthesis
Keratan sulfate/keratin metabolism	Keratan sulfate degradation
Heparan sulfate/heparin (HS-GAG) metabolism	A tetrasaccharide linker sequence is required for GAG synthesis
Heparan sulfate/heparin (HS-GAG) metabolism	HS-GAG biosynthesis
Heparan sulfate/heparin (HS-GAG) metabolism	HS-GAG degradation
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	The activation of arylsulfatases
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	Hypusine synthesis from eIF5A-lysine
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	Synthesis of diphthamide-EEF2
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	Protein hydroxylation
Cell Cycle	Meiosis
Cell Cycle	Cell Cycle, Mitotic
Cell Cycle	Cell Cycle Checkpoints
Cell Cycle	Chromosome Maintenance
Disease	Diseases of Immune System
Disease	Disorders of transmembrane transporters
Disease	Diseases of signal transduction by growth factor receptors and second messengers
Disease	Infectious disease
Disease	Diseases of metabolism
Disease	Diseases of programmed cell death
Disease	Diseases of hemostasis
Disease	Diseases of mitotic cell cycle
Disease	Diseases of cellular response to stress
Disease	Diseases of DNA repair
Disease	Diseases of the neuronal system
Disease	Disorders of Developmental Biology
Signaling by EGFR in Cancer	Signaling by EGFRvIII in Cancer
Signaling by EGFR in Cancer	Signaling by Ligand-Responsive EGFR Variants in Cancer
Signaling by EGFR in Cancer	Signaling by Overexpressed Wild-Type EGFR in Cancer
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Nef mediated downregulation of CD28 cell surface expression
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Nef mediated downregulation of MHC class I complex cell surface expression
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Nef Mediated CD4 Down-regulation
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Nef Mediated CD8 Down-regulation
The role of Nef in HIV-1 replication and disease pathogenesis	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
The role of Nef in HIV-1 replication and disease pathogenesis	Nef and signal transduction
Collagen biosynthesis and modifying enzymes	Collagen chain trimerization
MTOR signalling	Inhibition of TSC complex formation by PKB
MTOR signalling	mTORC1-mediated signalling
MTOR signalling	Energy dependent regulation of mTOR by LKB1-AMPK
Regulation of cholesterol biosynthesis by SREBP (SREBF)	Activation of gene expression by SREBF (SREBP)
Toll Like Receptor 4 (TLR4) Cascade	Transfer of LPS from LBP carrier to CD14
Toll Like Receptor 4 (TLR4) Cascade	MyD88:MAL(TIRAP) cascade initiated on plasma membrane
Toll Like Receptor 4 (TLR4) Cascade	MyD88-independent TLR4 cascade 
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	TAK1-dependent IKK and NF-kappa-B activation  
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	MAP kinase activation
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	IRAK1 recruits IKK complex
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	IRAK2 mediated activation of TAK1 complex
Glycosphingolipid metabolism	Glycosphingolipid biosynthesis
Glycosphingolipid metabolism	Glycosphingolipid catabolism
MyD88-independent TLR4 cascade 	TRIF (TICAM1)-mediated TLR4 signaling 
Mitochondrial Uncoupling	The fatty acid cycling model
Mitochondrial Uncoupling	Oleoyl-phe metabolism
Signaling by NTRKs	Signaling by NTRK1 (TRKA)
Signaling by NTRKs	Signaling by NTRK2 (TRKB)
Signaling by NTRKs	Signaling by NTRK3 (TRKC)
Signaling by NTRKs	Expression and Processing of Neurotrophins
Complement cascade	Initial triggering of complement
Complement cascade	Terminal pathway of complement
Complement cascade	Activation of C3 and C5
Complement cascade	Regulation of Complement cascade
Lectin pathway of complement activation	Ficolins bind to repetitive carbohydrate structures on the target cell surface
Initial triggering of complement	Creation of C4 and C2 activators
Initial triggering of complement	Alternative complement activation
Creation of C4 and C2 activators	Lectin pathway of complement activation
Creation of C4 and C2 activators	Classical antibody-mediated complement activation
Signalling to RAS	p38MAPK events
HIV Transcription Elongation	Formation of the HIV-1 Early Elongation Complex
HIV Transcription Elongation	Abortive elongation of HIV-1 transcript in the absence of Tat
HIV Transcription Elongation	Tat-mediated elongation of the HIV-1 transcript
Transcription of the HIV genome	Formation of HIV elongation complex in the absence of HIV Tat
Transcription of the HIV genome	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
Transcription of the HIV genome	HIV Transcription Initiation
Transcription of the HIV genome	RNA Polymerase II HIV Promoter Escape
Transcription of the HIV genome	HIV Transcription Elongation
Transcription of the HIV genome	Pausing and recovery of Tat-mediated HIV elongation
Transcription of the HIV genome	Tat-mediated HIV elongation arrest and recovery
Transcription of the HIV genome	HIV elongation arrest and recovery
