pathway,pathwayName
reactome:Pathway711,Postmitotic nuclear pore complex (NPC) reformation
reactome:Pathway814,Folding of actin by CCT/TriC
reactome:Pathway2130,Gap junction trafficking and regulation
reactome:Pathway2055,RHOBTB2 GTPase cycle
reactome:Pathway2488,RUNX2 regulates genes involved in cell migration
reactome:Pathway845,ER to Golgi Anterograde Transport
reactome:Pathway1462,Toxicity of botulinum toxin type B (botB)
reactome:Pathway2170,Laminin interactions
reactome:Pathway2075,RHOT1 GTPase cycle
reactome:Pathway80,Carbohydrate metabolism
reactome:Pathway1377,"Defective B4GALT7 causes EDS, progeroid type"
reactome:Pathway2105,p75NTR negatively regulates cell cycle via SC1
reactome:Pathway2732,Global Genome Nucleotide Excision Repair (GG-NER)
reactome:Pathway1427,Defective MPI causes CDG-1b
reactome:Pathway2679,Trafficking of myristoylated proteins to the cilium
reactome:Pathway1080,Sunitinib-resistant KIT mutants
reactome:Pathway2437,RNA Polymerase II Transcription
reactome:Pathway1925,PKA activation
reactome:Pathway2269,Release of apoptotic factors from the mitochondria
reactome:Pathway801,SRP-dependent cotranslational protein targeting to membrane
reactome:Pathway337,OADH complex synthesizes glutaryl-CoA from 2-OA
reactome:Pathway1094,Sunitinib-resistant PDGFR mutants
reactome:Pathway841,N-glycan trimming in the ER and Calnexin/Calreticulin cycle
reactome:Pathway397,"Formation of the active cofactor, UDP-glucuronate"
reactome:Pathway813,Formation of tubulin folding intermediates by CCT/TriC
reactome:Pathway1195,ABC transporter disorders
reactome:Pathway2407,Prednisone ADME
reactome:Pathway587,Interleukin-4 and Interleukin-13 signaling
reactome:Pathway2302,Gastrulation
reactome:Pathway2657,Phase 0 - rapid depolarisation
reactome:Pathway14,Reuptake of GABA
reactome:Pathway697,"Activation of NIMA Kinases NEK9, NEK6, NEK7"
reactome:Pathway2086,PTK6 Down-Regulation
reactome:Pathway574,Interleukin-18 signaling
reactome:Pathway1922,CaM pathway
reactome:Pathway1146,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4
reactome:Pathway2080,PTK6 Activates STAT3
reactome:Pathway1613,Translation of Accessory Proteins
reactome:Pathway2,Transmission across Electrical Synapses
reactome:Pathway2703,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
reactome:Pathway2633,Chaperone Mediated Autophagy
reactome:Pathway105,A tetrasaccharide linker sequence is required for GAG synthesis
reactome:Pathway1368,Defective SFTPA2 causes IPF
reactome:Pathway2598,NFE2L2 regulating inflammation associated genes
reactome:Pathway861,SUMO is proteolytically processed
reactome:Pathway1711,Intestinal absorption
reactome:Pathway1182,Diseases of DNA Double-Strand Break Repair
reactome:Pathway2121,Intra-Golgi and retrograde Golgi-to-ER traffic
reactome:Pathway1323,Defective MMADHC causes MMAHCD
reactome:Pathway2613,PERK regulates gene expression
reactome:Pathway836,Synthesis of UDP-N-acetyl-glucosamine
reactome:Pathway1667,Defective visual phototransduction due to ABCA4 loss of function
reactome:Pathway888,Protein methylation
reactome:Pathway20,Clearance of seratonin
reactome:Pathway780,Cell surface interactions at the vascular wall
reactome:Pathway2054,RHOBTB1 GTPase cycle
reactome:Pathway1790,NTF4 activates NTRK2 (TRKB) signaling
reactome:Pathway721,Phosphorylation of the APC/C
reactome:Pathway1670,Defective visual phototransduction due to OPN1LW loss of function
reactome:Pathway859,SUMOylation
reactome:Pathway808,Mitochondrial translation termination
reactome:Pathway1676,Disorders of Nervous System Development
reactome:Pathway1984,Hedgehog ligand biogenesis
reactome:Pathway1159,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
reactome:Pathway1128,ASP-3026-resistant ALK mutants
reactome:Pathway2320,Semaphorin interactions
reactome:Pathway2165,Anchoring fibril formation
reactome:Pathway187,Acyl chain remodeling of CL
reactome:Pathway376,Biological oxidations
reactome:Pathway97,Hyaluronan metabolism
reactome:Pathway1881,Signaling by GPCR
reactome:Pathway1587,Maturation of protein 3a
reactome:Pathway2287,Regulated Necrosis
reactome:Pathway992,Drug resistance in ERBB2 KD mutants
reactome:Pathway1190,Impaired BRCA2 binding to PALB2
reactome:Pathway1980,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2"
reactome:Pathway1868,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
reactome:Pathway479,SLC15A4:TASL-dependent IRF5 activation
reactome:Pathway379,Endogenous sterols
reactome:Pathway1855,MET activates STAT3
reactome:Pathway321,Metabolism of fat-soluble vitamins
reactome:Pathway36,Assembly and cell surface presentation of NMDA receptors
reactome:Pathway385,Eicosanoids
reactome:Pathway203,Sphingolipid de novo biosynthesis
reactome:Pathway1247,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)
reactome:Pathway551,Beta defensins
reactome:Pathway244,Biosynthesis of DHA-derived sulfido conjugates
reactome:Pathway883,Protein ubiquitination
reactome:Pathway2635,Sensory Perception
reactome:Pathway1443,Defective MUT causes MMAM
reactome:Pathway1104,pexidartinib-resistant FLT3 mutants
reactome:Pathway1738,FGFR2 ligand binding and activation
reactome:Pathway235,Biosynthesis of EPA-derived SPMs
reactome:Pathway1872,Signaling by BMP
reactome:Pathway2258,Activation of BID and translocation to mitochondria
reactome:Pathway382,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2
reactome:Pathway268,ChREBP activates metabolic gene expression
reactome:Pathway316,Biotin transport and metabolism
reactome:Pathway981,Signaling by FGFR2 fusions
reactome:Pathway2385,Regulation of MITF-M dependent genes involved in metabolism
reactome:Pathway868,SUMOylation of chromatin organization proteins
reactome:Pathway2374,Formation of the cornified envelope
reactome:Pathway1629,Maturation of hRSV A proteins
reactome:Pathway1061,RAS signaling downstream of NF1 loss-of-function variants
reactome:Pathway609,FLT3 signaling through SRC family kinases
reactome:Pathway1593,SARS-CoV-1 targets PDZ proteins in cell-cell junction
reactome:Pathway2677,VxPx cargo-targeting to cilium
reactome:Pathway276,Regulation of pyruvate metabolism
reactome:Pathway2023,Intracellular signaling by second messengers
reactome:Pathway360,Carnitine synthesis
reactome:Pathway1241,Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)
reactome:Pathway1756,Negative regulation of FGFR3 signaling
reactome:Pathway1448,Loss-of-function mutations in DLD cause MSUD3/DLDD
reactome:Pathway1805,Insulin receptor signalling cascade
reactome:Pathway949,rRNA modification in the mitochondrion
reactome:Pathway2378,Developmental Lineage of Pancreatic Acinar Cells
reactome:Pathway1721,EGFR downregulation
reactome:Pathway950,tRNA processing
reactome:Pathway2503,MECP2 regulates neuronal receptors and channels
reactome:Pathway1631,RSV-host interactions
reactome:Pathway324,Vitamin E transport
reactome:Pathway1823,Neurophilin interactions with VEGF and VEGFR
reactome:Pathway672,Processive synthesis on the lagging strand
reactome:Pathway1341,Defective CYP1B1 causes Glaucoma
reactome:Pathway1632,Evasion by RSV of host interferon responses
reactome:Pathway114,Blood group systems biosynthesis
reactome:Pathway1083,Nilotinib-resistant KIT mutants
reactome:Pathway1349,Defective CYP2U1 causes SPG56
reactome:Pathway982,Signaling by FGFR3 in disease
reactome:Pathway2367,Regulation of gene expression in early pancreatic precursor cells
reactome:Pathway1149,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4
reactome:Pathway689,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis
reactome:Pathway2733,DNA Damage Recognition in GG-NER
reactome:Pathway270,eNOS activation
reactome:Pathway2499,RUNX3 regulates BCL2L11 (BIM) transcription
reactome:Pathway902,Regulation of IGF Activity by IGFBP
reactome:Pathway2447,TP53 Regulates Transcription of Caspase Activators and Caspases
reactome:Pathway688,AURKA Activation by TPX2
reactome:Pathway329,Amino acid and derivative metabolism
reactome:Pathway1865,Signaling by TGF-beta Receptor Complex
reactome:Pathway1268,Defective SLC6A19 causes Hartnup disorder (HND)
reactome:Pathway1571,Influenza Virus Induced Apoptosis
reactome:Pathway2228,Erythrocytes take up oxygen and release carbon dioxide
reactome:Pathway701,Resolution of Sister Chromatid Cohesion
reactome:Pathway2529,RNA polymerase II transcribes snRNA genes
reactome:Pathway1640,Cell recruitment (pro-inflammatory response)
reactome:Pathway1520,Tat-mediated HIV elongation arrest and recovery
reactome:Pathway298,Pyrimidine salvage
reactome:Pathway534,DAP12 interactions
reactome:Pathway1845,IRS-related events triggered by IGF1R
reactome:Pathway1734,Negative regulation of FGFR1 signaling
reactome:Pathway1282,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)
reactome:Pathway1569,Budding
reactome:Pathway2649,"Sensory perception of sweet, bitter, and umami (glutamate) taste"
reactome:Pathway1714,Signaling Pathways
reactome:Pathway1651,IRAK4 deficiency (TLR5)
reactome:Pathway634,G2/M DNA damage checkpoint
reactome:Pathway1659,IKBKB deficiency causes SCID
reactome:Pathway1318,Defects in cobalamin (B12) metabolism
reactome:Pathway2200,"Sodium-coupled sulphate, di- and tri-carboxylate transporters"
reactome:Pathway1363,Defective UGT1A1 causes hyperbilirubinemia
reactome:Pathway893,Peptide hormone metabolism
reactome:Pathway1573,HCMV Early Events
reactome:Pathway1578,Translation of Replicase and Assembly of the Replication Transcription Complex
reactome:Pathway1277,"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)"
reactome:Pathway1371,Defective ABCA3 causes SMDP3
reactome:Pathway901,Glycoprotein hormones
reactome:Pathway630,p53-Independent G1/S DNA damage checkpoint
reactome:Pathway1842,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
reactome:Pathway9,Glutamate Neurotransmitter Release Cycle
reactome:Pathway38,Post NMDA receptor activation events
reactome:Pathway2482,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
reactome:Pathway2648,Sensory perception of taste
reactome:Pathway2741,MMR
reactome:Pathway1137,Diseases of Telomere Maintenance
reactome:Pathway1493,Antimicrobial action and antimicrobial resistance in Mtb
reactome:Pathway2481,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes
reactome:Pathway2664,Specification of primordial germ cells
reactome:Pathway1314,"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P"
reactome:Pathway526,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production
reactome:Pathway767,GRB2:SOS provides linkage to MAPK signaling for Integrins
reactome:Pathway1782,Signalling to STAT3
reactome:Pathway2687,Cleavage of the damaged purine
reactome:Pathway440,Cross-presentation of particulate exogenous antigens (phagosomes)
reactome:Pathway1788,BDNF activates NTRK2 (TRKB) signaling
reactome:Pathway75,Protein-protein interactions at synapses
reactome:Pathway2077,Signaling by Non-Receptor Tyrosine Kinases
reactome:Pathway2748,Assembly of the pre-replicative complex
reactome:Pathway1022,Loss of Function of SMAD2/3 in Cancer
reactome:Pathway1813,Signal attenuation
reactome:Pathway608,FLT3 Signaling
reactome:Pathway2016,Negative regulation of MAPK pathway
reactome:Pathway1689,Defective F8 sulfation at Y1699
reactome:Pathway874,SUMOylation of DNA methylation proteins
reactome:Pathway2452,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain
reactome:Pathway2683,Base Excision Repair
reactome:Pathway673,Removal of the Flap Intermediate
reactome:Pathway878,UCH proteinases
reactome:Pathway751,cGMP effects
reactome:Pathway1292,MPS IV - Morquio syndrome A
reactome:Pathway252,Biosynthesis of DPAn-3-derived 13-series resolvins
reactome:Pathway1276,Defective SLC7A9 causes cystinuria (CSNU)
reactome:Pathway1043,CTNNB1 T41 mutants aren't phosphorylated
reactome:Pathway2725,Resolution of D-Loop Structures
reactome:Pathway158,Beta oxidation of hexanoyl-CoA to butanoyl-CoA
reactome:Pathway209,Cholesterol biosynthesis
reactome:Pathway600,Interleukin-20 family signaling
reactome:Pathway1686,Defective factor XII causes hereditary angioedema
reactome:Pathway759,Signal amplification
reactome:Pathway1047,Signaling by TCF7L2 mutants
reactome:Pathway1358,Defective OPLAH causes OPLAHD
reactome:Pathway1042,CTNNB1 S45 mutants aren't phosphorylated
reactome:Pathway2716,DNA Double Strand Break Response
reactome:Pathway1419,Defective PGM1 causes CDG1t
reactome:Pathway1208,Defective ABCD4 causes MAHCJ
reactome:Pathway2627,Mitophagy
reactome:Pathway2618,Mitochondrial unfolded protein response (UPRmt)
reactome:Pathway1453,3-methylglutaconic aciduria
reactome:Pathway2712,ALKBH2 mediated reversal of alkylation damage
reactome:Pathway1591,SARS-CoV-1-host interactions
reactome:Pathway1108,sunitinib-resistant FLT3 mutants
reactome:Pathway1471,Intestinal infectious diseases
reactome:Pathway182,Synthesis of PI
reactome:Pathway1077,KIT mutants bind TKIs
reactome:Pathway1501,Minus-strand DNA synthesis
reactome:Pathway400,Methylation
reactome:Pathway280,Maturation of TCA enzymes and regulation of TCA cycle
reactome:Pathway2661,Ion homeostasis
reactome:Pathway1439,Defective HPRT1 disrupts guanine and hypoxanthine salvage
reactome:Pathway2429,Nephrin family interactions
reactome:Pathway1335,Defective AHCY causes HMAHCHD
reactome:Pathway2611,IRE1alpha activates chaperones
reactome:Pathway2729,HDR through MMEJ (alt-NHEJ)
reactome:Pathway1119,Signaling by ALK fusions and activated point mutants
reactome:Pathway999,Resistance of ERBB2 KD mutants to sapitinib
reactome:Pathway1069,Signaling by MRAS-complex mutants
reactome:Pathway2156,HDACs deacetylate histones
reactome:Pathway2410,Cell junction organization
reactome:Pathway1508,Transcription of the HIV genome
reactome:Pathway1036,Deletions in the AXIN1 gene destabilize the destruction complex
reactome:Pathway1064,Paradoxical activation of RAF signaling by kinase inactive BRAF
reactome:Pathway1941,Pre-NOTCH Expression and Processing
reactome:Pathway692,Mitotic Prophase
reactome:Pathway522,RIP-mediated NFkB activation via ZBP1
reactome:Pathway283,Complex III assembly
reactome:Pathway592,Interleukin-10 signaling
reactome:Pathway2334,DSCAM interactions
reactome:Pathway1863,Signaling by LTK
reactome:Pathway919,Transport of Mature mRNA Derived from an Intronless Transcript
reactome:Pathway2335,Signaling by ROBO receptors
reactome:Pathway437,Antigen processing: Ubiquitination & Proteasome degradation
reactome:Pathway420,Downstream TCR signaling
reactome:Pathway835,Synthesis of Dolichyl-phosphate
reactome:Pathway226,Vitamin D (calciferol) metabolism
reactome:Pathway1272,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)
reactome:Pathway675,Establishment of Sister Chromatid Cohesion
reactome:Pathway2073,RHOBTB3 ATPase cycle
reactome:Pathway1511,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
reactome:Pathway1224,Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)
reactome:Pathway1025,Loss of Function of TGFBR2 in Cancer
reactome:Pathway179,Hydrolysis of LPC
reactome:Pathway2524,RNA Pol II CTD phosphorylation and interaction with CE
reactome:Pathway1093,Imatinib-resistant PDGFR mutants
reactome:Pathway900,Peptide hormone biosynthesis
reactome:Pathway131,Metabolism of lipids
reactome:Pathway2541,Gene Silencing by RNA
reactome:Pathway1547,Fusion and Uncoating of the Influenza Virion
reactome:Pathway1622,Potential therapeutics for SARS
reactome:Pathway449,Toll-like Receptor Cascades
reactome:Pathway73,TWIK-related spinal cord K+ channel (TRESK)
reactome:Pathway1660,IkBA variant leads to EDA-ID
reactome:Pathway319,Metabolism of folate and pterines
reactome:Pathway579,Interleukin-2 family signaling
reactome:Pathway1824,Signaling by SCF-KIT
reactome:Pathway1238,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)
reactome:Pathway2568,Response to metal ions
reactome:Pathway2516,Regulation of NPAS4 gene transcription
reactome:Pathway1935,G-protein beta:gamma signalling
reactome:Pathway714,Cohesin Loading onto Chromatin
reactome:Pathway621,Cell Cycle
reactome:Pathway292,Nucleotide biosynthesis
reactome:Pathway1708,Digestion
reactome:Pathway2691,NEIL3-mediated resolution of ICLs
reactome:Pathway2299,Transcriptional regulation of pluripotent stem cells
reactome:Pathway487,"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7"
reactome:Pathway1492,Phagocyte cell death caused by cytosolic Mtb
reactome:Pathway663,DNA replication initiation
reactome:Pathway1336,Defective CYP11A1 causes AICSR
reactome:Pathway1912,GPCR downstream signalling
reactome:Pathway988,FGFR4 mutant receptor activation
reactome:Pathway1614,Virion Assembly and Release
reactome:Pathway871,SUMOylation of intracellular receptors
reactome:Pathway1001,Signaling by ERBB2 ECD mutants
reactome:Pathway1781,PI3K/AKT activation
reactome:Pathway2197,Cellular hexose transport
reactome:Pathway603,Prolactin receptor signaling
reactome:Pathway1350,Defective CYP4F22 causes ARCI5
reactome:Pathway682,Polo-like kinase mediated events
reactome:Pathway1081,Regorafenib-resistant KIT mutants
reactome:Pathway1251,Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)
reactome:Pathway1604,Replication of the SARS-CoV-2 genome
reactome:Pathway28,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors
reactome:Pathway2255,Regulation by c-FLIP
reactome:Pathway359,Urea cycle
reactome:Pathway2722,HDR through Homologous Recombination (HRR)
reactome:Pathway2620,Response of endothelial cells to shear stress
reactome:Pathway1751,Downstream signaling of activated FGFR3
reactome:Pathway1015,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
reactome:Pathway11,Acetylcholine Neurotransmitter Release Cycle
reactome:Pathway2260,Activation of BAD and translocation to mitochondria
reactome:Pathway1297,Glycogen storage diseases
reactome:Pathway2450,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
reactome:Pathway1814,Insulin receptor recycling
reactome:Pathway1479,Suppression of phagosomal maturation
reactome:Pathway1743,Phospholipase C-mediated cascade; FGFR2
reactome:Pathway55,Activation of GABAB receptors
reactome:Pathway2019,RAF-independent MAPK1/3 activation
reactome:Pathway2647,Acetylcholine inhibits contraction of outer hair cells
reactome:Pathway646,Transcription of E2F targets under negative control by DREAM complex
reactome:Pathway2494,RUNX3 Regulates Immune Response and Cell Migration
reactome:Pathway1475,Infection with Mycobacterium tuberculosis
reactome:Pathway2464,Activation of the TFAP2 (AP-2) family of transcription factors
reactome:Pathway963,Signaling by Ligand-Responsive EGFR Variants in Cancer
reactome:Pathway2137,Gap junction degradation
reactome:Pathway927,mRNA Editing: A to I Conversion
reactome:Pathway2394,Circadian Clock
reactome:Pathway643,"Cell Cycle, Mitotic"
reactome:Pathway2291,Pyroptosis
reactome:Pathway750,Nitric oxide stimulates guanylate cyclase
reactome:Pathway2538,Transcription from mitochondrial promoters
reactome:Pathway139,Synthesis of Prostaglandins (PG) and Thromboxanes (TX)
reactome:Pathway2268,Apoptotic factor-mediated response
reactome:Pathway1512,HIV Transcription Elongation
reactome:Pathway1747,Signaling by FGFR3
reactome:Pathway774,Platelet degranulation
reactome:Pathway406,Conjugation of phenylacetate with glutamine
reactome:Pathway2223,Ion transport by P-type ATPases
reactome:Pathway890,Neddylation
reactome:Pathway42,RSK activation
reactome:Pathway135,Fatty acid metabolism
reactome:Pathway1372,Defective CSF2RA causes SMDP4
reactome:Pathway1880,TGFBR3 regulates FGF2 signaling
reactome:Pathway1850,MET activates PTPN11
reactome:Pathway2100,NFG and proNGF binds to p75NTR
reactome:Pathway1787,Signaling by NTRK2 (TRKB)
reactome:Pathway1470,Uptake and function of diphtheria toxin
reactome:Pathway127,IPs transport between ER lumen and cytosol
reactome:Pathway2236,HDL assembly
reactome:Pathway1230,Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)
reactome:Pathway2525,RNA Polymerase II Transcription Elongation
reactome:Pathway2282,Apoptosis induced DNA fragmentation
reactome:Pathway1125,alectinib-resistant ALK mutants
reactome:Pathway1171,Defective MUTYH substrate binding
reactome:Pathway1926,CaMK IV-mediated phosphorylation of CREB
reactome:Pathway542,CLEC7A (Dectin-1) signaling
reactome:Pathway1049,Signaling by RNF43 mutants
reactome:Pathway333,Branched-chain amino acid catabolism
reactome:Pathway2098,TRAIL  signaling
reactome:Pathway626,Stabilization of p53
reactome:Pathway2198,"Transport of bile salts and organic acids, metal ions and amine compounds"
reactome:Pathway2230,Mitochondrial calcium ion transport
reactome:Pathway275,PDH complex synthesizes acetyl-CoA from PYR
reactome:Pathway1592,SARS-CoV-1-mediated effects on programmed cell death
reactome:Pathway350,Selenoamino acid metabolism
reactome:Pathway93,Galactose catabolism
reactome:Pathway19,Enzymatic degradation of Dopamine by monoamine oxidase
reactome:Pathway1639,WNT5:FZD7-mediated leishmania damping
reactome:Pathway1893,Adrenoceptors
reactome:Pathway1250,"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)"
reactome:Pathway1364,Defective UGT1A4 causes hyperbilirubinemia
reactome:Pathway1290,MPS IIIC - Sanfilippo syndrome C
reactome:Pathway1730,FRS-mediated FGFR1 signaling
reactome:Pathway2420,CDH11 homotypic and heterotypic interactions
reactome:Pathway354,Formation of selenosugars for excretion
reactome:Pathway221,Pregnenolone biosynthesis
reactome:Pathway160,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids
reactome:Pathway748,Platelet homeostasis
reactome:Pathway2365,Nephron development
reactome:Pathway1466,Toxicity of botulinum toxin type D (botD)
reactome:Pathway1300,GSD Ia
reactome:Pathway148,alpha-linolenic acid (ALA) metabolism
reactome:Pathway1819,VEGF binds to VEGFR leading to receptor dimerization
reactome:Pathway1517,HIV elongation arrest and recovery
reactome:Pathway1583,Transcription of SARS-CoV-1 sgRNAs
reactome:Pathway832,Asparagine N-linked glycosylation
reactome:Pathway555,ROS and RNS production in phagocytes
reactome:Pathway2179,Invadopodia formation
reactome:Pathway1811,PDE3B signalling
reactome:Pathway434,Calcineurin activates NFAT
reactome:Pathway248,Biosynthesis of DPAn-6 SPMs
reactome:Pathway2022,MAPK6/MAPK4 signaling
reactome:Pathway1305,Myoclonic epilepsy of Lafora
reactome:Pathway170,Glycerophospholipid biosynthesis
reactome:Pathway2108,NF-kB is activated and signals survival
reactome:Pathway144,Synthesis of Hepoxilins (HX) and Trioxilins (TrX)
reactome:Pathway2304,Epithelial-Mesenchymal Transition (EMT) during gastrulation
reactome:Pathway430,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
reactome:Pathway758,GP1b-IX-V activation signalling
reactome:Pathway2564,Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)
reactome:Pathway358,Glycine degradation
reactome:Pathway2636,Olfactory Signaling Pathway
reactome:Pathway2231,Processing of SMDT1
reactome:Pathway1919,PLC beta mediated events
reactome:Pathway1543,Nef Mediated CD8 Down-regulation
reactome:Pathway2357,Reelin signalling pathway
reactome:Pathway1130,Signaling by LTK in cancer
reactome:Pathway2174,ECM proteoglycans
reactome:Pathway806,Mitochondrial translation initiation
reactome:Pathway1434,Diseases of nucleotide metabolism
reactome:Pathway204,Glycosphingolipid metabolism
